,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
0,39,state-gov,bachelors,13,never-married,adm-clerical,not-in-family,white,male,2174,0,40,united-states,<=50k
1,50,self-emp-not-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,13,united-states,<=50k
2,38,private,hs-grad,9,divorced,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50k
3,53,private,11th,7,married-civ-spouse,handlers-cleaners,husband,black,male,0,0,40,united-states,<=50k
4,28,private,bachelors,13,married-civ-spouse,prof-specialty,wife,black,female,0,0,40,cuba,<=50k
5,37,private,masters,14,married-civ-spouse,exec-managerial,wife,white,female,0,0,40,united-states,<=50k
6,49,private,9th,5,married-spouse-absent,other-service,not-in-family,black,female,0,0,16,jamaica,<=50k
7,52,self-emp-not-inc,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,45,united-states,>50k
8,31,private,masters,14,never-married,prof-specialty,not-in-family,white,female,14084,0,50,united-states,>50k
9,42,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,5178,0,40,united-states,>50k
10,37,private,some-college,10,married-civ-spouse,exec-managerial,husband,black,male,0,0,80,united-states,>50k
11,30,state-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,0,0,40,india,>50k
12,23,private,bachelors,13,never-married,adm-clerical,own-child,white,female,0,0,30,united-states,<=50k
13,32,private,assoc-acdm,12,never-married,sales,not-in-family,black,male,0,0,50,united-states,<=50k
15,34,private,7th-8th,4,married-civ-spouse,transport-moving,husband,amer-indian-eskimo,male,0,0,45,mexico,<=50k
16,25,self-emp-not-inc,hs-grad,9,never-married,farming-fishing,own-child,white,male,0,0,35,united-states,<=50k
17,32,private,hs-grad,9,never-married,machine-op-inspct,unmarried,white,male,0,0,40,united-states,<=50k
18,38,private,11th,7,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k
19,43,self-emp-not-inc,masters,14,divorced,exec-managerial,unmarried,white,female,0,0,45,united-states,>50k
20,40,private,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,>50k
21,54,private,hs-grad,9,separated,other-service,unmarried,black,female,0,0,20,united-states,<=50k
22,35,federal-gov,9th,5,married-civ-spouse,farming-fishing,husband,black,male,0,0,40,united-states,<=50k
23,43,private,11th,7,married-civ-spouse,transport-moving,husband,white,male,0,2042,40,united-states,<=50k
24,59,private,hs-grad,9,divorced,tech-support,unmarried,white,female,0,0,40,united-states,<=50k
